Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
2017,332,6,2,26,19,2009,31290
2015,184,4,4,37,25,586,25045
2015,184,4,4,39,28,586,26095
2015,155,4,4,41,30,586,23795
2015,155,4,4,41,29,586,19595
2015,155,4,4,41,29,586,18445
2015,184,4,4,37,25,586,23845
2015,184,4,4,37,27,586,25395
2015,184,4,4,39,28,586,24895
2015,184,4,4,35,26,586,25545
2015,155,4,4,40,30,586,24295
2015,155,4,4,41,30,586,19495
2015,155,4,4,40,29,586,20095
2015,155,4,4,40,30,586,19995
2015,155,4,4,40,30,586,21145
2015,155,4,4,40,29,586,23245
2015,155,4,4,41,29,586,16945
2015,184,4,4,35,26,586,24345
2015,155,4,4,41,30,586,20645
2015,155,4,4,40,29,586,18945
2015,184,4,4,37,27,586,26595
2015,155,4,4,41,29,586,22745
2015,155,4,4,41,30,586,17995
2016,155,4,4,41,29,586,22545
2016,155,4,4,41,30,586,21095
2016,184,4,4,37,27,586,25495
2016,155,4,4,40,29,586,20745
2016,155,4,4,40,30,586,24295
2016,155,4,4,41,30,586,23595
2016,155,4,4,40,30,586,21795
2016,155,4,4,41,29,586,17845
2016,184,4,4,37,27,586,26495
2016,184,4,4,37,25,586,24745
2016,155,4,4,41,30,586,18895
2016,155,4,4,40,30,586,19595
2016,155,4,4,40,29,586,23245
2016,155,4,4,40,29,586,18545
2016,184,4,4,39,28,586,25795
2016,155,4,4,41,29,586,20045
2016,184,4,4,35,26,586,25445
2016,184,4,4,39,28,586,24795
2017,155,4,4,37,28,586,21495
2017,155,4,4,37,27,586,17845
2017,184,4,4,34,25,586,23145
2017,184,4,4,36,27,586,24195
2017,155,4,4,37,28,586,20145
2017,184,4,4,35,26,586,24945
2017,184,4,4,33,25,586,23895
2017,155,4,4,37,27,586,19095
2017,184,4,4,35,26,586,23445
2017,155,4,4,37,28,586,18895
2017,155,4,4,37,28,586,22245
2017,184,4,4,33,25,586,22395
2017,155,4,4,37,27,586,20445
2015,240,4,4,33,22,3916,42300
2015,240,4,4,34,23,3916,40300
2015,240,4,4,34,23,3916,40300
2015,240,4,4,33,22,3916,42300
2015,300,6,4,32,21,3916,45800
2015,300,6,4,31,20,3916,47800
2016,240,4,4,34,22,3916,43650
2016,300,6,4,30,20,3916,49950
2016,300,6,4,31,20,3916,47950
2016,240,4,4,34,23,3916,41650
2017,320,6,4,32,21,3916,48300
2017,320,6,4,31,21,3916,50300
2017,248,4,4,33,23,3916,43950
2017,248,4,4,34,23,3916,41950
2015,300,6,2,29,20,3916,56900
2015,300,6,2,32,21,3916,46250
2015,240,4,2,33,21,3916,50750
2015,240,4,2,33,22,3916,42750
2015,240,4,2,34,23,3916,48750
2015,300,6,2,30,20,3916,48250
2015,240,4,2,33,22,3916,42750
2015,240,4,2,33,21,3916,50750
2015,240,4,2,35,23,3916,40750
2015,300,6,2,31,20,3916,54900
2015,240,4,2,34,23,3916,48750
2015,240,4,2,35,23,3916,40750
2016,240,4,2,33,21,3916,52000
2016,240,4,2,34,23,3916,50000
2016,240,4,2,34,22,3916,41850
2016,300,6,2,30,20,3916,50150
2016,240,4,2,35,23,3916,41850
2016,300,6,2,29,20,3916,58950
2016,240,4,2,34,22,3916,43850
2016,300,6,2,31,20,3916,48150
2016,300,6,2,31,20,3916,56950
2017,248,4,2,34,23,3916,50300
2017,248,4,2,32,22,3916,52300
2017,320,6,2,31,21,3916,50500
2017,248,4,2,33,23,3916,44150
2017,248,4,2,34,23,3916,42150
2017,320,6,2,30,20,3916,59300
2017,320,6,2,29,21,3916,57300
2017,320,6,2,32,21,3916,48500
1992,268,8,4,20,15,617,2168
1992,282,8,4,16,12,617,2497
1993,275,8,4,22,16,617,2278
1993,275,8,4,17,13,617,2650
1990,201,8,4,17,14,617,2000
1991,201,8,4,17,14,617,2186
2001,442,12,2,14,9,2774,223970
2001,442,12,2,15,9,2774,219775
2002,442,12,2,14,9,2774,228625
2002,442,12,2,15,9,2774,224585
2003,442,12,2,14,9,2774,228625
2003,442,12,2,15,9,2774,224585
2013,562,8,2,17,13,2774,257412
2013,562,8,2,17,13,2774,233509
2014,562,8,2,17,13,2774,233509
2014,597,8,2,17,13,2774,288000
2014,562,8,2,17,13,2774,257412
2015,562,8,2,17,13,2774,239340
2015,562,8,2,17,13,2774,263553
2015,597,8,2,17,13,2774,291744
2015,237,4,2,34,24,113,63900
2015,237,4,2,34,24,113,68400
2015,237,4,2,34,24,113,53900
2016,237,4,2,34,24,113,55900
2016,237,4,2,34,24,113,65900
2014,270,6,4,23,17,2031,41365
2014,270,6,4,23,17,2031,35740
2014,270,6,4,22,17,2031,37615
2014,270,6,4,22,17,2031,34695
2014,270,6,4,22,17,2031,35725
2014,270,6,4,22,17,2031,43400
2014,270,6,4,23,17,2031,32820
2014,270,6,4,22,17,2031,38645
2015,270,6,4,21,17,2031,37825
2015,270,6,4,21,17,2031,43620
2015,270,6,4,21,17,2031,36115
2015,270,6,4,22,17,2031,35950
2015,270,6,4,22,17,2031,33210
2015,270,6,4,21,17,2031,38855
2015,270,6,4,22,17,2031,41585
2015,270,6,4,21,17,2031,35085
2015,270,6,4,21,17,2031,41310
2016,270,6,4,22,17,2031,36690
2016,270,6,4,21,17,2031,44360
2016,270,6,4,21,17,2031,39595
2016,270,6,4,21,17,2031,41850
2016,270,6,4,22,17,2031,42325
2016,270,6,4,21,17,2031,35885
2016,270,6,4,21,17,2031,38565
2016,270,6,4,21,17,2031,36915
2016,270,6,4,22,17,2031,34010
2015,300,6,4,28,19,3916,60700
2015,445,8,4,24,16,3916,71400
2015,300,6,4,26,18,3916,63000
2015,445,8,4,25,16,3916,69100
2016,300,6,4,26,18,3916,63200
2016,445,8,4,24,16,3916,72500
2016,300,6,4,28,19,3916,60900
2017,300,6,4,26,18,3916,63200
2017,300,6,4,27,19,3916,60900
2017,445,8,4,24,15,3916,72500
2015,443,8,4,25,16,3916,67200
2015,302,6,4,29,20,3916,57900
2015,255,6,4,38,26,3916,57100
2015,241,4,4,33,22,3916,52250
2015,255,6,4,37,26,3916,59400
2015,443,8,4,25,17,3916,64900
2015,241,4,4,34,23,3916,49950
2015,302,6,4,31,20,3916,55600
2016,255,6,4,38,26,3916,57350
2016,302,6,4,29,20,3916,58150
2016,302,6,4,31,20,3916,55850
2016,240,4,4,34,22,3916,52500
2016,240,4,4,34,23,3916,50200
2016,443,8,4,25,16,3916,68600
2016,443,8,4,25,17,3916,66300
2016,255,6,4,37,26,3916,59650
1991,322,8,2,17,13,617,4155
1992,322,8,4,15,11,617,2427
1992,322,8,4,16,13,617,3245
1992,322,8,2,17,13,617,4701
1993,315,8,2,16,12,617,3176
1993,315,8,4,18,14,617,3613
1993,315,8,2,19,14,617,5140
1993,315,8,4,16,12,617,2692
2015,160,4,2,34,28,819,26595
2015,101,4,2,40,31,819,18700
2015,135,4,2,34,28,819,19700
2015,101,4,2,34,28,819,22800
2015,101,4,2,34,28,819,24700
2015,160,4,2,34,28,819,22495
2015,101,4,2,40,31,819,17495
2015,101,4,2,34,28,819,20345
2015,101,4,2,40,31,819,17700
2015,101,4,2,40,31,819,20400
2015,101,4,2,40,31,819,16845
2016,160,4,2,34,28,819,26695
2016,101,4,2,40,31,819,21295
2016,101,4,2,40,31,819,20395
2016,101,4,2,40,31,819,17745
2016,160,4,2,34,28,819,22575
2016,101,4,2,40,31,819,24495
2016,101,4,2,40,31,819,16995
2016,101,4,2,40,31,819,20395
2016,135,4,2,34,28,819,19700
2016,101,4,2,40,31,819,17900
2016,101,4,2,40,31,819,21395
2017,160,4,2,33,28,819,19995
2017,101,4,2,33,27,819,19390
2017,101,4,2,33,27,819,17485
2017,101,4,2,33,27,819,20885
2017,160,4,2,33,28,819,21490
2017,101,4,2,33,27,819,15990
2015,160,4,4,33,25,819,19345
2015,160,4,4,33,25,819,23095
2015,160,4,4,30,22,819,24695
2015,160,4,4,33,25,819,21695
2015,160,4,4,33,25,819,20695
2016,160,4,4,33,25,819,21880
2016,160,4,4,33,25,819,23395
2016,160,4,4,30,22,819,24795
2016,160,4,4,33,25,819,20795
2016,160,4,4,33,25,819,19495
2017,160,4,4,30,22,819,23695
2017,160,4,4,30,22,819,20995
2017,160,4,4,30,22,819,22995
2016,180,4,4,30,21,819,24635
2016,180,4,4,31,22,819,25135
2016,180,4,4,30,21,819,29235
2016,180,4,4,31,22,819,23335
2016,180,4,4,31,22,819,22735
2016,180,4,4,30,21,819,27035
2016,160,4,4,34,25,819,20000
2016,180,4,4,31,22,819,27335
2016,180,4,4,30,21,819,25235
2017,180,4,4,29,21,819,27035
2017,180,4,4,30,22,819,25135
2017,180,4,4,29,21,819,25235
2017,180,4,4,29,21,819,23890
2017,180,4,4,30,22,819,23335
2017,160,4,4,33,25,819,19995
2001,485,12,2,12,8,2774,248500
2001,485,12,2,12,8,2774,205840
1990,238,8,2,16,12,617,2323
1990,238,8,4,16,12,617,2170
1991,238,8,2,16,12,617,2443
1991,238,8,4,16,12,617,2304
2016,562,8,2,23,16,416,184900
2002,515,12,2,15,9,2774,214670
2002,515,12,2,16,9,2774,224670
2003,515,12,2,15,9,2774,217890
2003,515,12,2,16,9,2774,228339
2004,515,12,2,16,9,2774,228339
2004,515,12,2,15,9,2774,217890
2010,543,12,4,16,10,67,366000
2010,631,12,4,16,10,67,455500
2010,604,12,4,16,10,67,405500
2011,543,12,4,16,10,67,372500
2011,620,12,4,16,10,67,412000
2012,543,12,4,16,10,67,379050
2012,620,12,4,16,10,67,418950
2009,611,12,2,15,11,2774,320580
2009,611,12,2,15,11,2774,310543
2010,611,12,2,15,11,2774,310543
2011,611,12,2,15,11,2774,320580
2011,661,12,2,15,11,2774,410000
2013,157,4,4,28,22,586,24470
2013,157,4,4,28,22,586,20940
2013,157,4,4,28,21,586,19940
2013,157,4,4,28,22,586,22070
2014,157,4,4,28,21,586,20140
2014,157,4,4,28,22,586,24670
2014,157,4,4,28,22,586,21140
2014,157,4,4,28,22,586,22270
2015,157,4,4,28,21,586,24770
2015,157,4,4,28,21,586,22370
2015,157,4,4,28,21,586,21240
2015,445,8,4,24,16,3916,92600
2015,315,6,4,29,20,3916,81300
2015,315,6,4,31,20,3916,78300
2015,445,8,4,25,17,3916,89600
2016,445,8,4,24,15,3916,93900
2016,315,6,4,29,20,3916,82500
2016,445,8,4,25,17,3916,90900
2016,315,6,4,31,20,3916,79500
2017,445,8,4,24,17,3916,91200
2017,315,6,4,28,19,3916,82800
2017,445,8,4,24,15,3916,94200
2017,315,6,4,29,20,3916,79800
2015,445,8,2,25,17,3916,94900
2015,315,6,2,29,20,3916,86600
2015,315,6,2,29,20,3916,79100
2015,315,6,2,32,21,3916,76100
2015,445,8,2,25,16,3916,90400
2015,315,6,2,31,20,3916,83600
2015,445,8,2,25,17,3916,87400
2015,445,8,2,24,16,3916,97900
2016,315,6,2,29,20,3916,87800
2016,315,6,2,31,20,3916,77300
2016,445,8,2,24,15,3916,99200
2016,445,8,2,25,17,3916,96200
2016,315,6,2,29,20,3916,80300
2016,315,6,2,31,20,3916,84800
2016,445,8,2,25,16,3916,91700
2016,445,8,2,25,17,3916,88700
2017,445,8,2,24,16,3916,92000
2017,315,6,2,30,21,3916,77600
2017,445,8,2,24,17,3916,89000
2017,315,6,2,28,19,3916,80600
2017,315,6,2,29,20,3916,85100
2017,315,6,2,28,19,3916,88100
2017,445,8,2,24,17,3916,96500
2017,445,8,2,24,15,3916,99500
1992,402,12,4,14,10,617,2960
1993,389,12,4,15,11,617,3108
1993,389,12,2,16,12,617,4623
1993,389,12,2,15,11,617,3211
1990,140,6,4,27,17,210,2000
1990,110,4,4,29,20,210,2000
1990,140,6,4,27,17,210,2000
1990,140,6,4,27,17,210,2000
1990,140,6,4,27,17,210,2000
1991,140,6,4,28,17,210,2000
1991,140,6,4,28,17,210,2000
1991,110,4,4,28,19,210,2000
2009,532,12,2,16,9,2774,313088
2010,532,12,2,16,9,2774,313088
2011,532,12,2,16,9,2774,313088
2000,170,6,4,25,19,586,2080
2000,170,6,4,25,19,586,2234
2000,130,4,4,29,23,586,2000
2000,130,4,4,25,19,586,2146
2001,165,6,4,25,19,586,22935
2001,165,6,4,25,19,586,19935
2001,125,4,4,25,19,586,20935
2001,125,4,4,29,23,586,18735
2002,165,6,4,25,19,586,19985
2002,125,4,4,29,23,586,18785
2002,165,6,4,25,19,586,21885
2010,604,12,4,16,10,67,456500
2010,543,12,4,16,10,67,417000
2010,631,12,4,16,10,67,506500
2011,543,12,4,16,10,67,423500
2011,620,12,4,16,10,67,463000
2012,620,12,4,16,10,67,470350
2012,543,12,4,16,10,67,430450
2015,641,8,2,22,16,416,265500
2015,641,8,2,22,16,416,280225
2015,184,4,4,38,26,586,24895
2015,184,4,4,38,26,586,22895
2015,184,4,4,37,25,586,23845
2015,184,4,4,37,25,586,21190
2015,184,4,4,40,28,586,29895
2016,184,4,4,38,26,586,22995
2016,184,4,4,38,26,586,24995
2016,184,4,4,37,25,586,21495
2016,184,4,4,38,26,586,30195
2016,184,4,4,37,25,586,23945
2017,184,4,4,35,26,586,30695
2017,184,4,4,34,24,586,21945
2017,184,4,4,34,24,586,24195
2017,184,4,4,35,26,586,22995
2017,184,4,4,35,26,586,25245
2015,535,12,4,20,13,3916,141200
2015,315,6,4,29,19,3916,78000
2015,445,8,4,25,16,3916,91000
2015,445,8,4,24,16,3916,94000
2015,315,6,4,28,19,3916,81000
2015,315,6,4,29,19,3916,74000
2015,445,8,4,25,17,3916,87300
2015,445,8,4,24,16,3916,90300
2015,255,6,4,31,23,3916,82500
2016,445,8,4,25,17,3916,94400
2016,320,6,4,29,21,3916,81300
2016,445,8,4,25,16,3916,97400
2017,445,8,4,26,17,3916,94600
2017,445,8,4,25,16,3916,97600
2017,320,6,4,28,19,3916,84500
2017,320,6,4,29,21,3916,81500
2017,300,4,2,28,21,1715,53900
2017,350,4,2,26,20,1715,66300
1990,114,4,4,26,19,870,2000
1990,153,4,4,26,19,870,2000
1990,114,4,4,26,19,870,2000
1990,114,4,4,26,19,870,2000
1990,114,4,4,26,19,870,2000
1990,153,4,4,23,18,870,2000
1991,162,4,4,20,17,870,2000
1991,162,4,4,24,18,870,2000
1991,114,4,4,24,18,870,2000
1991,162,4,4,20,17,870,2000
1991,162,4,4,24,18,870,2000
1991,114,4,4,24,18,870,2000
