name;slug;value;date_of_information;ranking;region
"United Arab Emirates";"united-arab-emirates";"79.75";"";60;"Middle East"
"Albania";"albania";"79.7";"";61;"Europe"
"Curacao";"curacao";"79.65";"";62;"Central America and the Caribbean"
"Sint Maarten";"sint-maarten";"79.5";"";63;"Central America and the Caribbean"
"Kuwait";"kuwait";"79.35";"";64;"Middle East"
"Saint Lucia";"saint-lucia";"79.18";"";65;"Central America and the Caribbean"
"New Caledonia";"new-caledonia";"79.06";"";66;"Australia and Oceania"
"Poland";"poland";"79";"";67;"Europe"
"Lebanon";"lebanon";"79";"";68;"Middle East"
"Barbados";"barbados";"78.79";"";69;"Central America and the Caribbean"
"French Polynesia";"french-polynesia";"78.66";"";70;"Australia and Oceania"
"Uruguay";"uruguay";"78.66";"";71;"South America"
"Brunei";"brunei";"78.61";"";72;"East and Southeast Asia"
"Paraguay";"paraguay";"78.61";"";73;"South America"
"Slovakia";"slovakia";"78.55";"";74;"Europe"
"Argentina";"argentina";"78.55";"";75;"South America"
"Dominica";"dominica";"78.45";"";76;"Central America and the Caribbean"
"Panama";"panama";"78.44";"";77;"Central America and the Caribbean"
"Algeria";"algeria";"78.27";"";78;"Africa"
"Ecuador";"ecuador";"78.25";"";79;"South America"
"Aruba";"aruba";"78.25";"";80;"Central America and the Caribbean"
"Sri Lanka";"sri-lanka";"78.24";"";81;"South Asia"
"China";"china";"78.23";"";82;"East and Southeast Asia"
"Bosnia and Herzegovina";"bosnia-and-herzegovina";"78.22";"";83;"Europe"
"Estonia";"estonia";"78.12";"";84;"Europe"
"Antigua and Barbuda";"antigua-and-barbuda";"78.04";"";85;"Central America and the Caribbean"
"Montenegro";"montenegro";"77.99";"";86;"Europe"
"Thailand";"thailand";"77.91";"";87;"East and Southeast Asia"
"Tonga";"tonga";"77.78";"";88;"Australia and Oceania"
"Guam";"guam";"77.74";"";89;"Australia and Oceania"
"Georgia";"georgia";"77.74";"";90;"Middle East"
"Croatia";"croatia";"77.47";"";91;"Europe"
"Hungary";"hungary";"77.44";"";92;"Europe"
"Libya";"libya";"77.42";"";93;"Africa"
"Cook Islands";"cook-islands";"77.39";"";94;"Australia and Oceania"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"77.33";"";95;"Central America and the Caribbean"
"Maldives";"maldives";"77.19";"";96;"South Asia"
"Oman";"oman";"77.16";"";97;"Middle East"
"North Macedonia";"north-macedonia";"77.09";"";98;"Europe"
"Tunisia";"tunisia";"77.07";"";99;"Africa"
"Solomon Islands";"solomon-islands";"76.96";"";100;"Australia and Oceania"
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"76.93";"";101;"Central America and the Caribbean"
"Saudi Arabia";"saudi-arabia";"76.91";"";102;"Middle East"
"Northern Mariana Islands";"northern-mariana-islands";"76.83";"";103;"Australia and Oceania"
"West Bank";"west-bank";"76.63";"";104;"Middle East"
"Turkey (Turkiye)";"turkey-turkiye";"76.47";"";105;"Middle East"
"Armenia";"armenia";"76.4";"";106;"Middle East"
"Malaysia";"malaysia";"76.38";"";107;"East and Southeast Asia"
"Bahamas, The";"bahamas-the";"76.38";"";108;"Central America and the Caribbean"
"Seychelles";"seychelles";"76.36";"";109;"Africa"
"Romania";"romania";"76.31";"";110;"Europe"
"Jordan";"jordan";"76.26";"";111;"Middle East"
"Trinidad and Tobago";"trinidad-and-tobago";"76.19";"";112;"Central America and the Caribbean"
"Latvia";"latvia";"76.16";"";113;"Europe"
"Brazil";"brazil";"76.1";"";114;"South America"
"Belize";"belize";"76.08";"";115;"Central America and the Caribbean"
"Jamaica";"jamaica";"76.01";"";116;"Central America and the Caribbean"
"Grenada";"grenada";"76";"";117;"Central America and the Caribbean"
"Lithuania";"lithuania";"75.95";"";118;"Europe"
"Montserrat";"montserrat";"75.91";"";119;"Central America and the Caribbean"
"Bulgaria";"bulgaria";"75.83";"";120;"Europe"
"Vietnam";"vietnam";"75.79";"";121;"East and Southeast Asia"
"Gaza Strip";"gaza-strip";"75.66";"";122;"Middle East"
"El Salvador";"el-salvador";"75.63";"";123;"Central America and the Caribbean"
"American Samoa";"american-samoa";"75.58";"";124;"Australia and Oceania"
"Uzbekistan";"uzbekistan";"75.55";"";125;"Central Asia"
"Samoa";"samoa";"75.46";"";126;"Australia and Oceania"
"Iran";"iran";"75.44";"";127;"Middle East"
"Honduras";"honduras";"75.43";"";128;"Central America and the Caribbean"
"Vanuatu";"vanuatu";"75.4";"";129;"Australia and Oceania"
"Mauritius";"mauritius";"75.13";"";130;"Africa"
"Serbia";"serbia";"75.08";"";131;"Europe"
"Nicaragua";"nicaragua";"75.05";"";132;"Central America and the Caribbean"
"Bangladesh";"bangladesh";"74.96";"";133;"South Asia"
"Marshall Islands";"marshall-islands";"74.92";"";134;"Australia and Oceania"
"Palau";"palau";"74.91";"";135;"Australia and Oceania"
"Colombia";"colombia";"74.89";"";136;"South America"
"Egypt";"egypt";"74.72";"";137;"Africa"
"Micronesia, Federated States of";"micronesia-federated-states-of";"74.71";"";138;"Australia and Oceania"
"Syria";"syria";"74.55";"";139;"Middle East"
"Belarus";"belarus";"74.54";"";140;"Europe"
"Fiji";"fiji";"74.54";"";141;"Australia and Oceania"
"Azerbaijan";"azerbaijan";"74.42";"";142;"Middle East"
"Greenland";"greenland";"74.25";"";143;"North America"
"Venezuela";"venezuela";"74.25";"";144;"South America"
"Cabo Verde";"cabo-verde";"74.02";"";145;"Africa"
"Morocco";"morocco";"73.95";"";146;"Africa"
"Ukraine";"ukraine";"73.72";"";147;"Europe"
"Mexico";"mexico";"73.46";"";148;"North America"
"Iraq";"iraq";"73.45";"";149;"Middle East"
"Indonesia";"indonesia";"73.33";"";150;"East and Southeast Asia"
"Guatemala";"guatemala";"73.18";"";151;"Central America and the Caribbean"
"Bhutan";"bhutan";"73.01";"";152;"South Asia"
"Dominican Republic";"dominican-republic";"72.84";"";153;"Central America and the Caribbean"
"Kazakhstan";"kazakhstan";"72.8";"";154;"Central Asia"
"Moldova";"moldova";"72.72";"";155;"Europe"
"Russia";"russia";"72.72";"";156;"Central Asia"
"Malawi";"malawi";"72.71";"";157;"Africa"
"Nepal";"nepal";"72.67";"";158;"South Asia"
"Kyrgyzstan";"kyrgyzstan";"72.63";"";159;"Central Asia"
"Suriname";"suriname";"72.57";"";160;"South America"
"Bolivia";"bolivia";"72.5";"";161;"South America"
"Guyana";"guyana";"72.15";"";162;"South America"
"Kosovo";"kosovo";"72.15";"";163;"Europe"
"Turkmenistan";"turkmenistan";"72.11";"";164;"Central Asia"
"Korea, North";"korea-north";"71.88";"";165;"East and Southeast Asia"
"Togo";"togo";"71.71";"";166;"Africa"
"Mongolia";"mongolia";"71.65";"";167;"East and Southeast Asia"
"Cambodia";"cambodia";"71.03";"";168;"East and Southeast Asia"
"Philippines";"philippines";"70.48";"";169;"East and Southeast Asia"
"Tanzania";"tanzania";"70.48";"";170;"Africa"
"Senegal";"senegal";"70.25";"";171;"Africa"
"Burma";"burma";"70.21";"";172;"East and Southeast Asia"
"Timor-Leste";"timor-leste";"70.21";"";173;"East and Southeast Asia"
"Kenya";"kenya";"70.04";"";174;"Africa"
"Gabon";"gabon";"70.03";"";175;"Africa"
"Pakistan";"pakistan";"69.96";"";176;"South Asia"
"Papua New Guinea";"papua-new-guinea";"69.74";"";177;"East and Southeast Asia"
"Ghana";"ghana";"69.72";"";178;"Africa"
"Tajikistan";"tajikistan";"69.66";"";179;"Central Asia"
"Uganda";"uganda";"69.32";"";180;"Africa"
"Peru";"peru";"68.94";"";181;"South America"
"Tuvalu";"tuvalu";"68.69";"";182;"Australia and Oceania"
"Laos";"laos";"68.59";"";183;"East and Southeast Asia"
"Ethiopia";"ethiopia";"68.59";"";184;"Africa"
"Madagascar";"madagascar";"68.47";"";185;"Africa"
"Nauru";"nauru";"68.25";"";186;"Australia and Oceania"
"Kiribati";"kiribati";"68.22";"";187;"Australia and Oceania"
"Gambia, The";"gambia-the";"67.98";"";188;"Africa"
"Yemen";"yemen";"67.83";"";189;"Middle East"
"Burundi";"burundi";"67.77";"";190;"Africa"
"India";"india";"67.69";"";191;"South Asia"
"Comoros";"comoros";"67.5";"";192;"Africa"
"Sudan";"sudan";"67.45";"";193;"Africa"
"Sao Tome and Principe";"sao-tome-and-principe";"67.39";"";194;"Africa"
"Eritrea";"eritrea";"67.19";"";195;"Africa"
"Namibia";"namibia";"67.04";"";196;"Africa"
"Zambia";"zambia";"66.6";"";197;"Africa"
"Haiti";"haiti";"66.3";"";198;"Central America and the Caribbean"
"Rwanda";"rwanda";"66.21";"";199;"Africa"
"Botswana";"botswana";"66.04";"";200;"Africa"
"Liberia";"liberia";"65.8";"";201;"Africa"
"Djibouti";"djibouti";"65.61";"";202;"Africa"
"South Africa";"south-africa";"65.6";"";203;"Africa"
"Mauritania";"mauritania";"65.57";"";204;"Africa"
"Guinea";"guinea";"64.27";"";205;"Africa"
"Guinea-Bissau";"guinea-bissau";"64.1";"";206;"Africa"
"Burkina Faso";"burkina-faso";"63.82";"";207;"Africa"
"Equatorial Guinea";"equatorial-guinea";"63.8";"";208;"Africa"
"Zimbabwe";"zimbabwe";"63.79";"";209;"Africa"
"Cameroon";"cameroon";"63.74";"";210;"Africa"
"Mali";"mali";"62.81";"";211;"Africa"
"Cote d'Ivoire";"cote-divoire";"62.71";"";212;"Africa"
"Benin";"benin";"62.6";"";213;"Africa"
"Congo, Republic of the";"congo-republic-of-the";"62.51";"";214;"Africa"
"Angola";"angola";"62.51";"";215;"Africa"
"Congo, Democratic Republic of the";"congo-democratic-republic-of-the";"62.23";"";216;"Africa"
"Nigeria";"nigeria";"61.79";"";217;"Africa"
"Niger";"niger";"60.48";"";218;"Africa"
"Eswatini";"eswatini";"60.22";"";219;"Africa"
"Lesotho";"lesotho";"59.87";"";220;"Africa"
"South Sudan";"south-sudan";"59.71";"";221;"Africa"
"Chad";"chad";"59.57";"";222;"Africa"
"Sierra Leone";"sierra-leone";"59.07";"";223;"Africa"
"Mozambique";"mozambique";"57.7";"";224;"Africa"
"Somalia";"somalia";"56.12";"";225;"Africa"
"Central African Republic";"central-african-republic";"55.96";"";226;"Africa"
"Afghanistan";"afghanistan";"54.05";"";227;"South Asia"
